CORbench 柯比桌｜我心目中的好桌椅，讓孩子願意身在其中，嘗試未來的所有可能！,孩記得,816600,6200,https://www.zeczec.com/projects/CORbench,"有別於常見書桌封閉的學習空間，【CORbench 柯比桌】 利用穿透柵格營造多維度使用情境，結合人體發展常模統計數據，是一張真正符合孩子生長需求的成長型書桌椅,zeczec",24 天,2022/05/31 21:00 – 2022/08/31 23:59
最陽春的修業旅行｜偏鄉小學生，用雙腿「走讀」台灣，旅費自籌計畫！,林穎慧,666251,200,https://www.zeczec.com/projects/hiking_and_study_2022_2023,"全校只有 39 人的偏鄉國小，一位雞婆老師帶著孩子們邁開雙腳，展開 18 天雄心壯志的「走讀」。這群學生多半出自於弱勢家庭，正努力用一步一腳印，拓展自己的視野！,zeczec",52 天,2022/06/28 20:00 – 2022/09/28 23:59
台灣・鳥叉餐具家飾系列🐦設計與職人工藝深度碰撞，打造餐具的一百種可能，形塑生活儀式感,WOOD MU 悟得木,278910,2400,https://www.zeczec.com/projects/birdfork,"將「餐具」帶入在地文化，增添生活意境，是Wood Mu 對設計的堅持！木頭的溫潤質感，結合高級蒔繪漆藝、金屬精造，讓現代與傳統工藝融入生活美學,zeczec",29 天,2022/07/13 21:00 – 2022/09/06 02:00
 MATURE 美萃夾心陶瓷爐｜三機合一 • 夾住美味 • 開啟派對,美萃 MATURE,2317158,3680,https://www.zeczec.com/projects/mature,"專為台灣人設計！結合火烤兩吃、電烤盤和熱壓機三種功能，烤盤配件全面使用「安心陶瓷塗層」，搭配「移動式除油煙機」不需再煩惱食安及油煙問題,zeczec",3 天,2022/06/29 21:00 – 2022/08/10 23:59
Tabula Wide 職人收納夾 2.0｜來自日本的極致收納術！把你的背包變出 90% 空間！,Tabula,568962,1499,https://www.zeczec.com/projects/tabula-wide,"告別凌亂包包！收納＋資料夾＋板夾 All in 1，從 3C 配件到文具小物都幫你系統歸納，極輕薄、一背就走，化身貼心秘書，一片搞定包內秩序！,zeczec",18 天,2022/07/14 12:00 – 2022/08/26 02:00
SN°OVAE 翻轉筆記夾_A5｜不受紙張規格限制 翻轉您的收納效率,SN°OVAE,860208,2099,https://www.zeczec.com/projects/snovaetwnb_a5,"這次我們將翻轉工作袋優化升級，全新的翻轉筆記夾_A5，讓您在使用上更直覺、更俐落，搭配全新的專屬配件，讓大家不管是在記錄書寫或文件收納上，效率加倍。,zeczec",9 天,2022/05/31 21:00 – 2022/08/17 02:00
獨家【備份豆腐】哆啦 A 夢設計款｜充電同時自動備份，手機容量救星！,Maktar Inc.,956581,1499,https://www.zeczec.com/projects/maktar,"睡前充電，睡醒已無痛備份完畢，外加輕巧好攜帶，旅行無感隨身帶著走〜這麼方便你／妳還等什麼,zeczec",11 天,2022/07/15 12:00 – 2022/08/18 23:59
【Uone｜6 in 1磁吸支架充電組】多功能自由組裝：日常的最佳夥伴｜專利設計、台灣製造、磁吸行充、手機支架、無線充電,UFAN,255410,550,https://www.zeczec.com/projects/uone-6-in-1,"你是否身邊的手機配件一大堆，卻彼此不相容，出門前還花時間整理配件，勞心又勞神？ Ufan聽到你的心聲了！我們推出了完整手機配件生態！Uone｜6 in 1磁吸支架充電組！,zeczec",13 天,2022/07/20 11:00 – 2022/08/20 23:59
丹麥爸媽也瘋狂的 MODU 回來啦！全新推出「半球積木」讓建築小宇宙再爆發！,MODU TAIWAN (QBEAN),3891070,6600,https://www.zeczec.com/projects/modu-ball,"MODU 是一組真人大小的變形積木，它可以是 √學步車 √搖搖馬 √滑步車 √甚至是平衡板－想要什麼玩具都可以自己搭！MODU 已經準備好要讓孩子們的「建築小宇宙」大爆發！,zeczec",16 天,2022/06/16 20:00 – 2022/08/23 23:59
一手掌握居家乾爽，小空間循環防潮​｜小窩環保除濕乾燥盒,防御工事｜T-FENCE,1281490,2190,https://www.zeczec.com/projects/mini-recycle-drying-box,"解決日常衣櫃、鞋櫃抽屜的擾人濕氣，擺脫受潮發霉的噩夢！小窩​採用環保無毒水玻璃，加熱循環重複使用，獨家隔熱不燙手，隨時保持小窩乾爽舒適！,zeczec",24 天,2022/05/18 11:30 – 2022/08/31 23:59
【酒世代 壓力救星 FLOAT泥醉撲克】你知我知！深夜傳說的陪酒員終於來了～,FLOAT,568831,999,https://www.zeczec.com/projects/floatwithfloat,"一群沒日沒夜的上班族，於工作時間肩負了巨大的壓力，下班之後只想要去「喝一杯」，但是光喝酒沒有來個划酒拳還是敲敲杯，單喝酒實在太尷尬了！ 　這是一個無醉就有罪的酒世代，窮忙族和月光族越來越多，人們...,zeczec",24 天,2022/06/27 20:00 – 2022/08/31 23:59
【3ZeBra】Super Soda 氣泡水隨身杯 ✦ 186g超輕盈氣泡水機，讓你隨時享受暢爽的氣泡飲！,三隻斑馬 3ZeBra,745905,1199,https://www.zeczec.com/projects/supersoda,"SuperSoda！SuperFun！我們讓氣泡水機變成「隨身杯」，不挑時間不挑地點，轉一下！隨時隨地享用暢爽的氣泡飲。,zeczec",8 天,2022/06/21 12:00 – 2022/08/15 23:59
【頂尖特務包APEX LINER PRO & MAX】地表最強｜機能商務/日常包。,CODE OF BELL TAIWAN,472940,4180,https://www.zeczec.com/projects/cofb-apex-liner,"【頂尖特務包APEX LINER系列】完美結合日常、工作的包包，可以讓您在任何地方更自由地工作！,zeczec",23 天,2022/06/27 20:00 – 2022/08/31 02:00
Drinker 醉客包｜背包界的陳年酒桶，讓你隨時隨地享受品飲，來場醉客之旅！,Stella Forza 本革九號製所,711587,5880,https://www.zeczec.com/projects/drinker-wine-bag,"酒桶造型餐酒袋精緻有型，三種攜帶方式：手提、側背、後背讓你輕鬆袋酒出門。採用義大利頭層牛皮拼接油蠟帆布，讓城市型男們能隨時隨地品飲微醺，背上醉客包一起成為最時尚的Drinker！,zeczec",51 天,2022/07/28 21:00 – 2022/09/28 02:59
齁齁睏 | 首創日本涼感黑科技，另一面親膚的冬夏兩用墊，在酷夏為孩童打造頂級涼爽的兒童隨身床組,woopo fabrics,1280841,3880,https://www.zeczec.com/projects/SweetDreams,"獨家應用日本涼感技術，搭配恆溫石墨烯四季被，專為台灣嬰仔開發，最全面的貼心設計，讓孩童不管到哪都能有舒適的睡眠。,zeczec",8 天,2022/06/01 11:00 – 2022/08/15 23:59
旺福WONFU第十張創作專輯《你好我好大家好》實體募資計畫,旺福愛你,635988,890,https://www.zeczec.com/projects/wonfu,"旺福首張全立體專輯即將誕生！一張好聽好看又好玩的專輯，讓你親手打造屬於自己的旺福里立體場景組！無論是快樂還是悲傷，在這歲月靜好的俗常中，旺福的音樂都在這裡陪伴著你，歡迎入籍旺福里！,zeczec",24 天,2022/04/08 12:00 – 2022/08/31 23:59
