projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period,group_period_start,group_period_end,new_product
Poketto | 全型口袋包,greenroom,945440,1380,https://www.zeczec.com/projects/poketto,"4 種背法的多功能小包，容量可切換，立體大空間網袋，可單背或升級裝備。,zeczec",13 天,2022/12/15 12:00 – 2023/01/15 23:59,2022/12/15 12:00:00,2023/01/15 23:59:00,
媽媽友MAMAYO黏土｜不會乾、重複玩的台灣製黏土，安心完美黏土提案：CP最高、玩法最多、清潔最易！,媽媽友mamayo,1627913,1599,https://www.zeczec.com/projects/mamayo-clay,"革命性專利技術，打造最適合孩子的三款特殊材質黏土，建構孩子想像、益智學習、感官探索體驗，解決了目前市售黏土的所有痛點，堪稱黏土界的最強王者！,zeczec",11 天,2022/11/28 12:00 – 2023/01/13 23:59,2022/11/28 12:00:00,2023/01/13 23:59:00,
filtango | 在京都流傳了三百年的溫柔 丹後縐紗純絲輕細圍巾 ,filtango,62300,5900,https://www.zeczec.com/projects/filtango_jp,"以京都「丹後半島」所出產的純正絲質精緻面料「京都丹後縐紗」打造的圍巾與小包，堅持全程在地選料、製成，經緯之間織出日本極致細膩紡織文化與歷史紋理。 ,zeczec",39 天,2022/12/29 12:00 – 2023/02/10 23:59,2022/12/29 12:00:00,2023/02/10 23:59:00,✅
熟成清水模落地音響，聲來有型｜台灣手工、藍牙、五單體、獨立可調重低音,二十二設計有限公司,1486600,18800,https://www.zeczec.com/projects/bt3concretespeaker,"22STUDIO 與台灣音響品牌 minfort 合作推出「熟成清水模落地音響」，期望結合「豐富細膩的音質感受」、「現代極簡的造型設計」與「高超的原材料工藝」讓你的生活更美好。,zeczec",25 天,2022/12/06 12:00 – 2023/01/27 23:59,2022/12/06 12:00:00,2023/01/27 23:59:00,
【愛孟奇神祕木盒】iMysteryBox｜幼兒雙語遊戲繪本月刊｜激發孩子潛能、啟動中英雙語、思辨能力！,815兒童潛能開發中心,30327,2772,https://www.zeczec.com/projects/iMysteryBox,"專為2-6歲幼兒量身設計的雙語繪本月刊，依據繪本故事內容，推出專屬Podcast雙語導讀節目、特製桌遊圖卡及任務學習單，透過五感學習，提升孩子的邏輯力、表達力、品格力與創造力，進而啟動思辨能力！,zeczec",13 天,2022/11/22 12:00 – 2023/01/15 23:59,2022/11/22 12:00:00,2023/01/15 23:59:00,
【木直牛勿】澐森之巔 再美一年 台灣山月曆,木直牛勿,3489100,980,https://www.zeczec.com/projects/plantpractice2022,"我們是「木直牛勿」，喜歡山林，也喜歡畫畫。​ 希望透過畫筆，將台灣山林之美帶入各位的生活中：）,zeczec",8 天,2022/09/27 11:30 – 2023/01/11 02:00,2022/09/27 11:30:00,2023/01/11 02:00:00,
日本皇室宮內廳御用 · 職人手工高級透明傘 WHITE ROSE｜300年歷史日本職人老舖全新優雅之作,Single Step,1079630,2680,https://www.zeczec.com/projects/WhiteRose-Japan,"日本傳統櫻皮細工樺木握把、十六枚玻璃纖維傘骨、專利氣閥強風不拖曳翻轉、 特殊傘布視野清透安全不劣化。融入搭襯各式穿著，讓人期待雨天撐起的一盞優雅。,zeczec",7 天,2022/11/25 12:00 – 2023/01/09 23:59,2022/11/25 12:00:00,2023/01/09 23:59:00,
《街上的哈瓦那》：遊走在褪色迷幻的古巴風景｜新書募資計畫,細腿男,222760,680,https://www.zeczec.com/projects/havana-viewfinder,"旅遊作家細腿男繼《里斯本，沒落的美感》後，再推出古巴哈瓦那的全新創作,zeczec",3 天,2022/11/29 20:00 – 2023/01/06 02:00,2022/11/29 20:00:00,2023/01/06 02:00:00,
130cm直徑的反摺傘!可以3人共撐的超級大傘!AMAYADORI,AMAYADORI,395796,778,https://www.zeczec.com/projects/otowa_AMAYADORI,"單手完成開傘與收傘 抵擋強風的10根傘骨 防水材質製成，快速甩開雨水 附有LED燈，夜晚使用也安心!,zeczec",26 天,2022/12/28 12:00 – 2023/01/28 23:59,2022/12/28 12:00:00,2023/01/28 23:59:00,✅
Hello Studio 你好工作室《狐吉與星星》繪本出版計畫,你好藝思有限公司,368200,1250,https://www.zeczec.com/projects/hellostudio,"總是為了別人奔波的你，有多久沒有跟自己說聲「辛苦了」？ 這是一本關於「愛自己」的繪本。,zeczec",41 天,2022/11/15 20:00 – 2023/02/12 23:59,2022/11/15 20:00:00,2023/02/12 23:59:00,
