一件（　　）衣服，由自己定義 ｜ NO ANSWER.,https://www.zeczec.com/projects/nat01,no answer,https://www.zeczec.com/users/no-answer,46%,"NT$4,680","目標 NT$10,000",6,15 天,2022/02/27 21:00 – 2022/03/31 23:59,2022/02/27 21:00:00,2022/03/31 23:59:00
一套專為旅行者設計的護膚旅行組合,https://www.zeczec.com/projects/trafiti-travelkits,Trafiti_JLC,https://www.zeczec.com/users/trafiti,18%,"NT$1,849","目標 NT$10,000",2,12 天,2022/02/25 20:00 – 2022/03/28 23:59,2022/02/25 20:00:00,2022/03/28 23:59:00
【沖繩甘蔗の日本丹寧】SHIMA DENIM WORKS使用沖繩蔗渣製成獨家道德布料的丹寧服飾和配件，台灣首登場,https://www.zeczec.com/projects/shima-denim-works,SHIMA DENIM WORKS,https://www.zeczec.com/users/ShimaDenimWorks,36%,"NT$11,000","目標 NT$30,000",3,4 天,2022/02/25 12:00 – 2022/03/20 23:59,2022/02/25 12:00:00,2022/03/20 23:59:00
【雙效合一】HEPA 過濾＋UVC 殺菌＝最乾淨的空氣 - MagComb 醫療級空氣殺菌機,https://www.zeczec.com/projects/magcomb,MagComb Taiwan,https://www.zeczec.com/users/magcomb,700%,"NT$700,097","目標 NT$100,000",111,28 天,2022/02/24 20:00 – 2022/04/14 02:00,2022/02/24 20:00:00,2022/04/14 02:00:00
InPure 蒸舒壺｜一壺抵五台－結合電火鍋、快煮壺、舒肥機、優格機的自煮神器！自煮，讓生活更養生健康！,https://www.zeczec.com/projects/sufupot,Inpure,https://www.zeczec.com/users/lnPure,"1,266%","NT$633,320","目標 NT$50,000",234,15 天,2022/02/22 21:00 – 2022/03/31 23:59,2022/02/22 21:00:00,2022/03/31 23:59:00
辣覺美學全感新體驗-挑食/金沙辣椒醬,https://www.zeczec.com/projects/pickiesfood,掌杓之家,https://www.zeczec.com/users/hero613402,100%,"NT$20,150","目標 NT$20,000",21,35 天,2022/02/22 20:00 – 2022/04/20 23:59,2022/02/22 20:00:00,2022/04/20 23:59:00
《台北市立棒球場》第三季募資計畫,https://www.zeczec.com/projects/tmbs-s3,台北市立棒球場,https://www.zeczec.com/users/wang-qi-en,142%,"NT$450,298","目標 NT$317,079",350, 5 小時,2022/02/18 20:00 – 2022/03/17 14:30,2022/02/18 20:00:00,2022/03/17 14:30:00
德國QPlay【Honeycomb炫光折疊滑板車】三段式腳踏板發光設計，二輪收納型滑板車，讓學童酷炫滑行~,https://www.zeczec.com/projects/honeycomb,QPlay Taiwan,https://www.zeczec.com/users/JING-FONG,11%,"NT$11,880","目標 NT$100,000",6,25 天,2022/02/18 12:00 – 2022/04/11 02:00,2022/02/18 12:00:00,2022/04/11 02:00:00
【Onda汪達-仿生金手指按壓滑動-G點按摩棒(綠手指)】｜美國情趣第一品牌首度在台上市｜2022最強女性G點(男性P點)高潮神器！英國第一超模卡拉：保證讓你們高潮連連！,https://www.zeczec.com/projects/lora-dicarlo-onda-g, 美國Lora DiCarlo蘿拉-情趣仿生微型機器人 台灣經銷商 模特書公司,https://www.zeczec.com/users/model101,"7,166%","NT$716,680","目標 NT$10,000",164, 14 小時,2022/02/17 20:30 – 2022/03/17 23:59,2022/02/17 20:30:00,2022/03/17 23:59:00
【全新兩款】雲米 eyeLink 五合一智慧門鎖｜讓回家最後一哩路安全又迅速,https://www.zeczec.com/projects/eyelink,雲米 Viomi,https://www.zeczec.com/users/viomi,"1,513%","NT$1,513,600","目標 NT$100,000",106,20 天,2022/02/17 20:00 – 2022/04/06 02:00,2022/02/17 20:00:00,2022/04/06 02:00:00
