projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period
《調香日曆》2023 曆刻聞香｜開啟調香日曆，走進叢林香氣,Xiabenhow下班隨手作,1174579.0,899.0,https://www.zeczec.com/projects/thescentcalendar,"365天的調香配方結合日曆，搭配52種精油深入介紹，透過每日調香配方，找到屬於自己的隱形費洛蒙，城市生活的365天，走進山林間的叢林香氣,zeczec", 17 小時,2022/09/28 12:00 – 2022/11/02 02:00
KAVi 翻轉咖啡杯｜一杯搞定所有器具，跳脫日常框架、翻轉無限”饗嚮”,錦明實業股份有限公司,1399831.0,99.0,https://www.zeczec.com/projects/viida-kavi,"小孩才作選擇，今天喝什麼我說了算！隱身於隨行杯裡的飲品特調 Bar，讓你再忙都能輕鬆享有手作飲品的好滋味及樂趣味！,zeczec",13 天,2022/09/13 10:30 – 2022/11/13 23:59
Coca-Koala「老宅歌2」動漫不插電專輯募資計畫,瘦瘦,518092.0,560.0,https://www.zeczec.com/projects/coca-koala-2,"實力派動漫樂團Coca-Koala，在獨立發行台灣首張日本授權不插電動漫專輯「老宅歌」四年後，即將以更高的製作水準推出「老宅歌2」。將動人的懷舊動漫音樂獻給永遠的少男少女們。,zeczec",7 天,2022/08/25 20:00 – 2022/11/07 23:59
,,,,https://www.zeczec.com/projects/anan,,,
,,,,https://www.zeczec.com/projects/jiuzuirili,,,
,,,,https://www.zeczec.com/projects/HelloLazy,,,
,,,,https://www.zeczec.com/projects/ryuu,,,
,,,,https://www.zeczec.com/projects/NBAS,,,
,,,,https://www.zeczec.com/projects/satto,,,
,,,,https://www.zeczec.com/projects/good-chicken-calendar-2023,,,
,,,,https://www.zeczec.com/projects/htvront,,,
,,,,https://www.zeczec.com/projects/snails,,,
,,,,https://www.zeczec.com/projects/ATC-2022,,,
人權辦桌 • 做伙來食飯,人權辦桌,23650.0,100.0,https://www.zeczec.com/projects/jin-kuan-pan-toh,"用一頓飯的時間，搭起「無家者」、「政治受難者」及「社會大眾」對話的平台，讓每個人都有權利訴說與被傾聽，也讓「人生而自由且平等」能夠獲得推廣。吃飽飯後才能繼續踏上漫漫人權路。,zeczec",45 天,2022/10/27 20:00 – 2022/12/16 02:00
《歲月靈光｜國家地理2023年攝影日曆》 透過黃框，開啟通往世界的窗口,國家地理,298190.0,1180.0,https://www.zeczec.com/projects/ngo-2023-calendar,"國家地理團隊首度推出攝影日曆《歲月靈光》，由創刊至今一百多年的照片中，精選 365 張大師經典，搭配豐富的影音知識內容，在新的一年中，每天與您分享一個精彩故事。,zeczec",30 天,2022/10/26 12:30 – 2022/11/30 23:59
星星窩貓跳台｜貓咪成長階段全適用！免釘3M專用雙面膠超耐重，還可自由換位！,享日生活工作室,105610.0,4299.0,https://www.zeczec.com/projects/swee-zhezhe2022,"洞洞板貓跳台=∞無限板免釘系列，搭配太空艙、貓隧道、貓階梯~貓的多重宇宙一次完成！升級配件改版更穩固！,zeczec",7 天,2022/10/05 11:00 – 2022/11/07 23:59
,,,,https://www.zeczec.com/projects/yourbonex,,,
2023 明想正念日曆 Bit By Bit Calendar｜用日復一日的美好・切換內心的開關,dxpresso,777230.0,820.0,https://www.zeczec.com/projects/dxpresso-bit-by-bit-calendar,"給初學者的正念日曆，透過365天明想每日提醒 + 每日療癒圖形，讓大腦進入短暫的正念狀態、消除眼睛疲勞，陪你一點一滴的累積，一天比一天進步！,zeczec",28 天,2022/09/16 12:00 – 2022/11/28 23:59
《河流》身心靈療癒誌｜不只是一份紙本月刊，而是一個匯聚美好能量的療癒多媒體，一個共學共好的身心靈平台！這世界不需要再一本八卦雜誌、再一個八卦節目，但需要這樣一個愛的視角，懇請支持「河流心傳媒」！,《河流》身心靈療癒誌,396135.0,16800.0,https://www.zeczec.com/projects/river2021,"《河流．身心靈療癒誌》滿週歲了，感謝去年嘖嘖支持我們創刊，這一年來我們為大家做了好多！河流從誕生到努力長這麼大，真是個奇蹟！我們還有更多的愛和夢想等著實現，邀請您繼續跟著我們～走這條河流！,zeczec",15 天,2022/09/20 10:00 – 2022/11/15 23:59
,,,,https://www.zeczec.com/projects/graduation-book-funding-project,,,
,,,,https://www.zeczec.com/projects/grimmpress-2,,,
,,,,https://www.zeczec.com/projects/WengYuJun-Album,,,
,,,,https://www.zeczec.com/projects/thecircularproject,,,
,,,,https://www.zeczec.com/projects/ring-fit-holder-neo,,,
,,,,https://www.zeczec.com/projects/spacefold,,,
,,,,https://www.zeczec.com/projects/mirolive-Tako3d,,,
,,,,https://www.zeczec.com/projects/storywear_Kurt,,,
,,,,https://www.zeczec.com/projects/chairlab-tx370,,,
,,,,https://www.zeczec.com/projects/calendar365,,,
《人生百態．魔法桌遊》適用多數身心靈系統的桌遊工具 在歡笑中找到自我,跳舞駱駝工作室,15250.0,2200.0,https://www.zeczec.com/projects/LifeofMagic,"身心靈系統百百種，你知道自己適合哪些嗎? 一個適用多數身心靈系統的桌遊工具，一個在歡笑聲中找到自我的桌遊！,zeczec",61 天,2022/10/19 00:00 – 2022/12/31 23:59
2023《身體曆行》插畫週曆 ✷ 照顧自己、放鬆身心的52個療癒提案,Thisis Yali（鏡物觀察室）,192968.0,730.0,https://www.zeczec.com/projects/BodyFirst2023,"週曆 × 可攤平手帳！讓穴道保健知識及儀式感提案，陪你照顧身體、自我療癒、開展豐盛生活♡,zeczec",22 天,2022/09/28 21:00 – 2022/11/22 23:59
J'DOR 全天然兒童黏土 | 不沾黏、加水即可恢復柔軟、植物精油製作｜孩子聖誕節禮物首選｜幼兒安全無毒黏土｜用食材打造玩具 | ,倍格思有限公司,829416.0,550.0,https://www.zeczec.com/projects/jdor,"小孩聖誕節禮物 - 安全無毒兒童黏土 促進小肌肉發展訓練 ｜ 幼兒禮物首選 ｜天然無毒安全黏土！不沾黏、加水即可恢復柔軟！,zeczec",26 天,2022/09/30 21:00 – 2022/11/26 23:59
2023年《365環球曆》每天帶你去環遊世界的日曆,Fiona環遊世界,798890.0,890.0,https://www.zeczec.com/projects/travel365,"一秒出國，環遊世界365天；文化體驗，輕鬆建立國際觀。環球旅人Fiona花費20年，精選全球77國+南極熱血製作。,zeczec",31 天,2022/09/26 20:00 – 2022/12/01 23:59
Musical World冉天豪音樂劇合唱作品募資計畫,台中室內合唱團,253052.0,1150.0,https://www.zeczec.com/projects/musical-world,"由台中室內合唱團攜手合唱、音樂劇跨界才子冉天豪，共同推出台灣第一組音樂劇合唱樂譜，讓台灣音樂劇在華人世界引領風潮，也讓全世界看到台灣音樂藝術文化的實力。,zeczec",13 天,2022/08/29 10:00 – 2022/11/13 22:00
憨兒鋼琴家圓夢專輯《音人無異》發行募資計畫（feat. Shino 林曉培）,真善美社會福利基金會,37488.0,200.0,https://www.zeczec.com/projects/chensenmei,"憨兒鋼琴王子──Alex 陳立，擁有絕對音感的天賦，最大夢想是出版屬於自己的音樂專輯。內含 4 首純鋼琴曲、1 首與林曉培合作的經典歌曲，期待透過歌星力挺與群眾募資，完成 Alex 的音樂夢。,zeczec",45 天,2022/10/20 10:00 – 2022/12/16 17:00
職游 x 牌卡 = 運用內在三角形▲ 成為自己的職涯設計師！,職游,730077.0,4680.0,https://www.zeczec.com/projects/careercreator,"我們是「職游」，由職涯諮詢師組成的專業團隊，這次推出 3 套職涯探索牌卡與可無限回看的線上課程，希望大家能透過趣味的職涯探索牌卡，在多變的職場環境中，從探索認識自己的「內在 3 角形」開啟職涯規...,zeczec",20 天,2022/09/26 20:00 – 2022/11/21 02:00
